policy_type,namespace,destination_cidr,allowed,port,protocol,peer_namespace,egress_destination_cidr,egress_allowed,ports_json,target_labels_json,peer_labels_json
MultiLabelSelector,basel,,,8080,TCP,,,,,"{""app"": ""orders"", ""tier"": ""worker""}","{""app"": ""search"", ""tier"": ""frontend""}"
Reachability,bratislava,100.0.4.0/24,true,80,TCP,,,,,,
Isolation,bratislava,100.0.4.0/24,true,80,TCP,,,,,,
NamespaceSelector,bratislava,,true,80,TCP,brussels,,,,,
CombinedIngressEgress,bratislava,,false,80,TCP,,100.1.4.0/24,true,,,
MultiPort,bratislava,100.0.4.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,bratislava,,,8080,TCP,,,,,"{""app"": ""inventory"", ""tier"": ""frontend""}","{""app"": ""cart"", ""tier"": ""backend""}"
Reachability,brussels,100.0.5.0/24,false,80,TCP,,,,,,
Isolation,brussels,100.0.5.0/24,false,80,TCP,,,,,,
NamespaceSelector,brussels,,false,80,TCP,bucharest,,,,,
CombinedIngressEgress,brussels,,false,80,TCP,,100.1.5.0/24,false,,,
MultiPort,brussels,100.0.5.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,brussels,,,8080,TCP,,,,,"{""app"": ""notifications"", ""tier"": ""backend""}","{""app"": ""payments"", ""tier"": ""cache""}"
Reachability,bucharest,100.0.6.0/24,true,80,TCP,,,,,,
Isolation,bucharest,100.0.6.0/24,true,80,TCP,,,,,,
NamespaceSelector,bucharest,,true,80,TCP,budapest,,,,,
CombinedIngressEgress,bucharest,,false,80,TCP,,100.1.6.0/24,true,,,
MultiPort,bucharest,100.0.6.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,bucharest,,,8080,TCP,,,,,"{""app"": ""search"", ""tier"": ""cache""}","{""app"": ""gateway"", ""tier"": ""worker""}"
Reachability,budapest,100.0.7.0/24,false,80,TCP,,,,,,
Isolation,budapest,100.0.7.0/24,false,80,TCP,,,,,,
NamespaceSelector,budapest,,false,80,TCP,dublin,,,,,
CombinedIngressEgress,budapest,,false,80,TCP,,100.1.7.0/24,false,,,
MultiPort,budapest,100.0.7.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,budapest,,,8080,TCP,,,,,"{""app"": ""cart"", ""tier"": ""worker""}","{""app"": ""auth"", ""tier"": ""frontend""}"
Reachability,dublin,100.0.8.0/24,true,80,TCP,,,,,,
Isolation,dublin,100.0.8.0/24,true,80,TCP,,,,,,
NamespaceSelector,dublin,,true,80,TCP,frankfurt,,,,,
CombinedIngressEgress,dublin,,false,80,TCP,,100.1.8.0/24,true,,,
MultiPort,dublin,100.0.8.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,dublin,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,frankfurt,100.0.9.0/24,false,80,TCP,,,,,,
Isolation,frankfurt,100.0.9.0/24,false,80,TCP,,,,,,
NamespaceSelector,frankfurt,,false,80,TCP,geneva,,,,,
CombinedIngressEgress,frankfurt,,false,80,TCP,,100.1.9.0/24,false,,,
MultiPort,frankfurt,100.0.9.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,frankfurt,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,geneva,100.0.10.0/24,true,80,TCP,,,,,,
Isolation,geneva,100.0.10.0/24,true,80,TCP,,,,,,
NamespaceSelector,geneva,,true,80,TCP,istanbul,,,,,
CombinedIngressEgress,geneva,,false,80,TCP,,100.1.10.0/24,true,,,
MultiPort,geneva,100.0.10.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,geneva,,,8080,TCP,,,,,"{""app"": ""auth"", ""tier"": ""cache""}","{""app"": ""notifications"", ""tier"": ""worker""}"
Reachability,istanbul,100.0.11.0/24,false,80,TCP,,,,,,
Isolation,istanbul,100.0.11.0/24,false,80,TCP,,,,,,
NamespaceSelector,istanbul,,false,80,TCP,kiev,,,,,
CombinedIngressEgress,istanbul,,false,80,TCP,,100.1.11.0/24,false,,,
MultiPort,istanbul,100.0.11.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,istanbul,,,8080,TCP,,,,,"{""app"": ""orders"", ""tier"": ""worker""}","{""app"": ""search"", ""tier"": ""frontend""}"
Reachability,kiev,100.0.12.0/24,true,80,TCP,,,,,,
Isolation,kiev,100.0.12.0/24,true,80,TCP,,,,,,
NamespaceSelector,kiev,,true,80,TCP,lisbon,,,,,
CombinedIngressEgress,kiev,,false,80,TCP,,100.1.12.0/24,true,,,
MultiPort,kiev,100.0.12.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,kiev,,,8080,TCP,,,,,"{""app"": ""inventory"", ""tier"": ""frontend""}","{""app"": ""cart"", ""tier"": ""backend""}"
Reachability,lisbon,100.0.13.0/24,false,80,TCP,,,,,,
Isolation,lisbon,100.0.13.0/24,false,80,TCP,,,,,,
NamespaceSelector,lisbon,,false,80,TCP,ljubljana,,,,,
CombinedIngressEgress,lisbon,,false,80,TCP,,100.1.13.0/24,false,,,
MultiPort,lisbon,100.0.13.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,lisbon,,,8080,TCP,,,,,"{""app"": ""notifications"", ""tier"": ""backend""}","{""app"": ""payments"", ""tier"": ""cache""}"
Reachability,ljubljana,100.0.14.0/24,true,80,TCP,,,,,,
Isolation,ljubljana,100.0.14.0/24,true,80,TCP,,,,,,
NamespaceSelector,ljubljana,,true,80,TCP,london,,,,,
CombinedIngressEgress,ljubljana,,false,80,TCP,,100.1.14.0/24,true,,,
MultiPort,ljubljana,100.0.14.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 443}]",,
MultiLabelSelector,ljubljana,,,8080,TCP,,,,,"{""app"": ""search"", ""tier"": ""cache""}","{""app"": ""gateway"", ""tier"": ""worker""}"
Reachability,london,100.0.15.0/24,false,80,TCP,,,,,,
Isolation,london,100.0.15.0/24,false,80,TCP,,,,,,
NamespaceSelector,london,,false,80,TCP,luxembourg,,,,,
CombinedIngressEgress,london,,false,80,TCP,,100.1.15.0/24,false,,,
MultiPort,london,100.0.15.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 6379}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,london,,,8080,TCP,,,,,"{""app"": ""cart"", ""tier"": ""worker""}","{""app"": ""auth"", ""tier"": ""frontend""}"
Reachability,luxembourg,100.0.16.0/24,true,80,TCP,,,,,,
Isolation,luxembourg,100.0.16.0/24,true,80,TCP,,,,,,
NamespaceSelector,luxembourg,,true,80,TCP,lyon,,,,,
CombinedIngressEgress,luxembourg,,false,80,TCP,,100.1.16.0/24,true,,,
MultiPort,luxembourg,100.0.16.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 80}]",,
MultiLabelSelector,luxembourg,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,lyon,100.0.17.0/24,false,80,TCP,,,,,,
Isolation,lyon,100.0.17.0/24,false,80,TCP,,,,,,
NamespaceSelector,lyon,,false,80,TCP,madrid,,,,,
CombinedIngressEgress,lyon,,false,80,TCP,,100.1.17.0/24,false,,,
MultiPort,lyon,100.0.17.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,lyon,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,madrid,100.0.18.0/24,true,80,TCP,,,,,,
Isolation,madrid,100.0.18.0/24,true,80,TCP,,,,,,
NamespaceSelector,madrid,,true,80,TCP,marseille,,,,,
CombinedIngressEgress,madrid,,false,80,TCP,,100.1.18.0/24,true,,,
MultiPort,madrid,100.0.18.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,madrid,,,8080,TCP,,,,,"{""app"": ""auth"", ""tier"": ""cache""}","{""app"": ""notifications"", ""tier"": ""worker""}"
Reachability,marseille,100.0.19.0/24,false,80,TCP,,,,,,
Isolation,marseille,100.0.19.0/24,false,80,TCP,,,,,,
NamespaceSelector,marseille,,false,80,TCP,milan,,,,,
CombinedIngressEgress,marseille,,false,80,TCP,,100.1.19.0/24,false,,,
MultiPort,marseille,100.0.19.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,marseille,,,8080,TCP,,,,,"{""app"": ""orders"", ""tier"": ""worker""}","{""app"": ""search"", ""tier"": ""frontend""}"
Reachability,milan,100.0.20.0/24,true,80,TCP,,,,,,
Isolation,milan,100.0.20.0/24,true,80,TCP,,,,,,
NamespaceSelector,milan,,true,80,TCP,paris,,,,,
CombinedIngressEgress,milan,,false,80,TCP,,100.1.20.0/24,true,,,
MultiPort,milan,100.0.20.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,milan,,,8080,TCP,,,,,"{""app"": ""inventory"", ""tier"": ""frontend""}","{""app"": ""cart"", ""tier"": ""backend""}"
Reachability,paris,100.0.21.0/24,false,80,TCP,,,,,,
Isolation,paris,100.0.21.0/24,false,80,TCP,,,,,,
NamespaceSelector,paris,,false,80,TCP,praha,,,,,
CombinedIngressEgress,paris,,false,80,TCP,,100.1.21.0/24,false,,,
MultiPort,paris,100.0.21.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,paris,,,8080,TCP,,,,,"{""app"": ""notifications"", ""tier"": ""backend""}","{""app"": ""payments"", ""tier"": ""cache""}"
Reachability,praha,100.0.22.0/24,true,80,TCP,,,,,,
Isolation,praha,100.0.22.0/24,true,80,TCP,,,,,,
NamespaceSelector,praha,,true,80,TCP,roma,,,,,
CombinedIngressEgress,praha,,false,80,TCP,,100.1.22.0/24,true,,,
MultiPort,praha,100.0.22.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,praha,,,8080,TCP,,,,,"{""app"": ""search"", ""tier"": ""cache""}","{""app"": ""gateway"", ""tier"": ""worker""}"
Reachability,roma,100.0.23.0/24,false,80,TCP,,,,,,
Isolation,roma,100.0.23.0/24,false,80,TCP,,,,,,
NamespaceSelector,roma,,false,80,TCP,rotterdam,,,,,
CombinedIngressEgress,roma,,false,80,TCP,,100.1.23.0/24,false,,,
MultiPort,roma,100.0.23.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,roma,,,8080,TCP,,,,,"{""app"": ""cart"", ""tier"": ""worker""}","{""app"": ""auth"", ""tier"": ""frontend""}"
Reachability,rotterdam,100.0.24.0/24,true,80,TCP,,,,,,
Isolation,rotterdam,100.0.24.0/24,true,80,TCP,,,,,,
NamespaceSelector,rotterdam,,true,80,TCP,sofia,,,,,
CombinedIngressEgress,rotterdam,,false,80,TCP,,100.1.24.0/24,true,,,
MultiPort,rotterdam,100.0.24.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,rotterdam,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,sofia,100.0.25.0/24,false,80,TCP,,,,,,
Isolation,sofia,100.0.25.0/24,false,80,TCP,,,,,,
NamespaceSelector,sofia,,false,80,TCP,stockholm,,,,,
CombinedIngressEgress,sofia,,false,80,TCP,,100.1.25.0/24,false,,,
MultiPort,sofia,100.0.25.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}]",,
MultiLabelSelector,sofia,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,stockholm,100.0.26.0/24,true,80,TCP,,,,,,
Isolation,stockholm,100.0.26.0/24,true,80,TCP,,,,,,
NamespaceSelector,stockholm,,true,80,TCP,strasbourg,,,,,
CombinedIngressEgress,stockholm,,false,80,TCP,,100.1.26.0/24,true,,,
MultiPort,stockholm,100.0.26.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,stockholm,,,8080,TCP,,,,,"{""app"": ""auth"", ""tier"": ""cache""}","{""app"": ""notifications"", ""tier"": ""worker""}"
Reachability,strasbourg,100.0.27.0/24,false,80,TCP,,,,,,
Isolation,strasbourg,100.0.27.0/24,false,80,TCP,,,,,,
NamespaceSelector,strasbourg,,false,80,TCP,vaduz,,,,,
CombinedIngressEgress,strasbourg,,false,80,TCP,,100.1.27.0/24,false,,,
MultiPort,strasbourg,100.0.27.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 6379}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,strasbourg,,,8080,TCP,,,,,"{""app"": ""orders"", ""tier"": ""worker""}","{""app"": ""search"", ""tier"": ""frontend""}"
Reachability,vaduz,100.0.28.0/24,true,80,TCP,,,,,,
Isolation,vaduz,100.0.28.0/24,true,80,TCP,,,,,,
NamespaceSelector,vaduz,,true,80,TCP,vienna,,,,,
CombinedIngressEgress,vaduz,,false,80,TCP,,100.1.28.0/24,true,,,
MultiPort,vaduz,100.0.28.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 443}]",,
MultiLabelSelector,vaduz,,,8080,TCP,,,,,"{""app"": ""inventory"", ""tier"": ""frontend""}","{""app"": ""cart"", ""tier"": ""backend""}"
Reachability,vienna,100.0.29.0/24,false,80,TCP,,,,,,
Isolation,vienna,100.0.29.0/24,false,80,TCP,,,,,,
NamespaceSelector,vienna,,false,80,TCP,warsaw,,,,,
CombinedIngressEgress,vienna,,false,80,TCP,,100.1.29.0/24,false,,,
MultiPort,vienna,100.0.29.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,vienna,,,8080,TCP,,,,,"{""app"": ""notifications"", ""tier"": ""backend""}","{""app"": ""payments"", ""tier"": ""cache""}"
Reachability,warsaw,100.0.30.0/24,true,80,TCP,,,,,,
Isolation,warsaw,100.0.30.0/24,true,80,TCP,,,,,,
NamespaceSelector,warsaw,,true,80,TCP,zagreb,,,,,
CombinedIngressEgress,warsaw,,false,80,TCP,,100.1.30.0/24,true,,,
MultiPort,warsaw,100.0.30.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,warsaw,,,8080,TCP,,,,,"{""app"": ""search"", ""tier"": ""cache""}","{""app"": ""gateway"", ""tier"": ""worker""}"
Reachability,zagreb,100.0.31.0/24,false,80,TCP,,,,,,
Isolation,zagreb,100.0.31.0/24,false,80,TCP,,,,,,
NamespaceSelector,zagreb,,false,80,TCP,zurich,,,,,
CombinedIngressEgress,zagreb,,false,80,TCP,,100.1.31.0/24,false,,,
MultiPort,zagreb,100.0.31.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,zagreb,,,8080,TCP,,,,,"{""app"": ""cart"", ""tier"": ""worker""}","{""app"": ""auth"", ""tier"": ""frontend""}"
Reachability,zurich,100.0.32.0/24,true,80,TCP,,,,,,
Isolation,zurich,100.0.32.0/24,true,80,TCP,,,,,,
NamespaceSelector,zurich,,true,80,TCP,amsterdam,,,,,
CombinedIngressEgress,zurich,,false,80,TCP,,100.1.32.0/24,true,,,
MultiPort,zurich,100.0.32.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,zurich,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,amsterdam,100.0.33.0/24,false,80,TCP,,,,,,
Isolation,amsterdam,100.0.33.0/24,false,80,TCP,,,,,,
NamespaceSelector,amsterdam,,false,80,TCP,barcelona,,,,,
CombinedIngressEgress,amsterdam,,false,80,TCP,,100.1.33.0/24,false,,,
MultiPort,amsterdam,100.0.33.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,amsterdam,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,athens,100.0.34.0/24,true,80,TCP,,,,,,
Isolation,athens,100.0.34.0/24,true,80,TCP,,,,,,
NamespaceSelector,athens,,true,80,TCP,basel,,,,,
CombinedIngressEgress,athens,,false,80,TCP,,100.1.34.0/24,true,,,
MultiPort,athens,100.0.34.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,athens,,,8080,TCP,,,,,"{""app"": ""auth"", ""tier"": ""cache""}","{""app"": ""notifications"", ""tier"": ""worker""}"
Reachability,barcelona,100.0.35.0/24,false,80,TCP,,,,,,
Isolation,barcelona,100.0.35.0/24,false,80,TCP,,,,,,
NamespaceSelector,barcelona,,false,80,TCP,bratislava,,,,,
CombinedIngressEgress,barcelona,,false,80,TCP,,100.1.35.0/24,false,,,
MultiPort,barcelona,100.0.35.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,barcelona,,,8080,TCP,,,,,"{""app"": ""orders"", ""tier"": ""worker""}","{""app"": ""search"", ""tier"": ""frontend""}"
Reachability,basel,100.0.36.0/24,true,80,TCP,,,,,,
Isolation,basel,100.0.36.0/24,true,80,TCP,,,,,,
NamespaceSelector,basel,,true,80,TCP,brussels,,,,,
CombinedIngressEgress,basel,,false,80,TCP,,100.1.36.0/24,true,,,
MultiPort,basel,100.0.36.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,basel,,,8080,TCP,,,,,"{""app"": ""inventory"", ""tier"": ""frontend""}","{""app"": ""cart"", ""tier"": ""backend""}"
Reachability,bratislava,100.0.37.0/24,false,80,TCP,,,,,,
Isolation,bratislava,100.0.37.0/24,false,80,TCP,,,,,,
NamespaceSelector,bratislava,,false,80,TCP,bucharest,,,,,
CombinedIngressEgress,bratislava,,false,80,TCP,,100.1.37.0/24,false,,,
MultiPort,bratislava,100.0.37.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}]",,
MultiLabelSelector,bratislava,,,8080,TCP,,,,,"{""app"": ""notifications"", ""tier"": ""backend""}","{""app"": ""payments"", ""tier"": ""cache""}"
Reachability,brussels,100.0.38.0/24,true,80,TCP,,,,,,
Isolation,brussels,100.0.38.0/24,true,80,TCP,,,,,,
NamespaceSelector,brussels,,true,80,TCP,budapest,,,,,
CombinedIngressEgress,brussels,,false,80,TCP,,100.1.38.0/24,true,,,
MultiPort,brussels,100.0.38.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,brussels,,,8080,TCP,,,,,"{""app"": ""search"", ""tier"": ""cache""}","{""app"": ""gateway"", ""tier"": ""worker""}"
Reachability,bucharest,100.0.39.0/24,false,80,TCP,,,,,,
Isolation,bucharest,100.0.39.0/24,false,80,TCP,,,,,,
NamespaceSelector,bucharest,,false,80,TCP,dublin,,,,,
CombinedIngressEgress,bucharest,,false,80,TCP,,100.1.39.0/24,false,,,
MultiPort,bucharest,100.0.39.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,bucharest,,,8080,TCP,,,,,"{""app"": ""cart"", ""tier"": ""worker""}","{""app"": ""auth"", ""tier"": ""frontend""}"
Reachability,budapest,100.0.40.0/24,true,80,TCP,,,,,,
Isolation,budapest,100.0.40.0/24,true,80,TCP,,,,,,
NamespaceSelector,budapest,,true,80,TCP,frankfurt,,,,,
CombinedIngressEgress,budapest,,false,80,TCP,,100.1.40.0/24,true,,,
MultiPort,budapest,100.0.40.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 6379}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,budapest,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,dublin,100.0.41.0/24,false,80,TCP,,,,,,
Isolation,dublin,100.0.41.0/24,false,80,TCP,,,,,,
NamespaceSelector,dublin,,false,80,TCP,geneva,,,,,
CombinedIngressEgress,dublin,,false,80,TCP,,100.1.41.0/24,false,,,
MultiPort,dublin,100.0.41.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,dublin,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,frankfurt,100.0.42.0/24,true,80,TCP,,,,,,
Isolation,frankfurt,100.0.42.0/24,true,80,TCP,,,,,,
NamespaceSelector,frankfurt,,true,80,TCP,istanbul,,,,,
CombinedIngressEgress,frankfurt,,false,80,TCP,,100.1.42.0/24,true,,,
MultiPort,frankfurt,100.0.42.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,frankfurt,,,8080,TCP,,,,,"{""app"": ""auth"", ""tier"": ""cache""}","{""app"": ""notifications"", ""tier"": ""worker""}"
Reachability,geneva,100.0.43.0/24,false,80,TCP,,,,,,
Isolation,geneva,100.0.43.0/24,false,80,TCP,,,,,,
NamespaceSelector,geneva,,false,80,TCP,kiev,,,,,
CombinedIngressEgress,geneva,,false,80,TCP,,100.1.43.0/24,false,,,
MultiPort,geneva,100.0.43.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,geneva,,,8080,TCP,,,,,"{""app"": ""orders"", ""tier"": ""worker""}","{""app"": ""search"", ""tier"": ""frontend""}"
Reachability,istanbul,100.0.44.0/24,true,80,TCP,,,,,,
Isolation,istanbul,100.0.44.0/24,true,80,TCP,,,,,,
NamespaceSelector,istanbul,,true,80,TCP,lisbon,,,,,
CombinedIngressEgress,istanbul,,false,80,TCP,,100.1.44.0/24,true,,,
MultiPort,istanbul,100.0.44.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,istanbul,,,8080,TCP,,,,,"{""app"": ""inventory"", ""tier"": ""frontend""}","{""app"": ""cart"", ""tier"": ""backend""}"
